Appointment_Appointment_ID,Task_Task_ID
614624,796159
657380,476515
716658,448521
941401,942380
394202,735248
123496,579681
400029,503121
121919,307970
152968,798472
617380,773328
150197,866022
965562,455193
679694,325924
369970,577262
271785,746407
449975,280575
736030,455193
449273,790808
723900,928420
746251,968596
679994,828627
713605,355176
240320,176903
113475,927301
320985,712150
428314,712150
560274,684000
220631,777069
453787,179663
872501,533344
521319,896963
505190,142600
246236,425587
523717,612810
723524,275779
113475,113938
975558,417327
247535,131388
576728,852830
645046,895754
643278,436027
969481,240523
425995,717697
726834,113657
965562,895754
376106,683840
367780,443347
976890,639427
816820,454579
487249,330788
220631,448521
622121,950864
121468,275779
128059,124258
559097,769999
989914,938629
527514,330093
547346,870816
273004,296266
775157,732617
220544,942380
121468,464673
833209,808152
811379,436027
321625,853777
787854,828627
121919,546596
581115,472778
890234,337173
517895,468538
969234,244350
902636,244350
725036,422825
111756,478281
942706,627308
582864,612810
959469,677811
889394,900250
864102,746407
881241,472778
395078,680738
175278,466438
449975,576780
403121,866022
155410,504353
869895,444862
450483,310811
759031,527275
129538,746407
364670,581637
395078,250119
718984,268514
759031,468538
245341,612810
970707,307970
403121,237480
184463,156309
443167,509320
846484,670387
129538,834103
628797,570162
469806,819280
566321,464673
609761,639427
327471,928420
682601,268514
518417,942380
778342,943691
635647,268233
240565,571102
386405,331368
731373,331368
492050,796159
718984,615522
400029,454579
846484,244067
889394,936648
268615,503121
781272,640296
631549,505002
182231,436027
808228,610582
860395,853777
400594,589680
450483,275779
874670,712150
714761,774573
279049,448521
275568,627169
891358,268233
291547,851477
846166,527275
191745,364554
680745,943691
936738,113657
328361,425587
198824,860123
537567,151478
892053,284879
258566,466438
406720,330342
433093,735248
422333,201955
972403,330342
319229,932825
367780,422825
803904,244067
775419,879203
146025,866022
942706,577262
715432,577262
815902,950864
801946,968596
818666,284879
119347,612236
459422,684000
883573,766626
648911,612810
115498,565840
153948,735248
223653,436027
775157,113938
781272,571102
859410,834103
317004,534309
443167,573846
492050,579681
265625,179663
262122,588539
150066,684000
204115,773661
376903,840792
324310,900250
474768,505816
754266,579681
669461,911582
408111,845609
940297,852830
188914,853777
787806,769999
916476,693532
324310,337173
181821,436027
672837,330342
923564,534309
444900,397058
376903,693191
643278,581637
989562,337173
949049,680738
246236,173767
643278,346237
319438,900250
765585,964664
479817,746407
202702,472778
694335,446032
150197,571102
941401,928420
405524,642030
640161,588539
594490,928420
381152,962590
726513,269491
102276,142600
622164,798472
410736,790808
940100,503121
525335,995569
929986,509320
594490,581637
521319,852830
150197,879203
481337,736044
153948,430461
160899,383664
723900,268514
449975,726895
163990,111267
381152,268514
784166,565840
861519,284879
661632,268514
448521,735248
890234,912692
822247,509320
146319,472778
574234,879783
147862,570162
512920,527275
975558,642030
682728,607219
969510,193948
160899,726895
644651,296266
268615,791446
425995,968596
669461,938629
799381,232749
289865,478281
518417,995569
737140,627308
291547,722047
644651,677811
476478,693191
264040,240523
816820,612236
532440,417327
279049,928420
885934,942380
784166,870816
172622,790808
726513,533344
431106,574239
708415,798472
396656,325924
161267,330342
871103,680738
792658,131388
268615,570340
582864,796159
450483,577443
408111,331368
818666,936648
379952,325924
852212,131486
476478,912692
926315,124258
197428,639427
381152,565840
481337,670387
974774,151478
204115,766626
167020,565840
425995,845609
880366,333809
532440,735248
648911,280575
523717,790808
672837,773328
609884,533344
881241,337373
463798,113657
969481,151478
822907,746407
713235,201955
952736,627308
692286,448521
784166,310811
347232,927301
123223,280696
454054,436027
679994,464673
754596,386538
949779,610582
476478,260961
928689,284879
559097,176903
970707,588539
184923,778336
152968,683840
983103,764900
450483,268233
233235,367123
115498,330788
124085,712150
891358,927301
614336,364554
275568,576780
984093,546596
758912,726895
343580,280575
463798,150230
737140,834103
680745,875519
459422,589680
489157,378345
838138,875519
453787,386538
448521,693810
233743,244350
928689,397058
969481,102509
521319,476515
387411,527275
846484,876570
778342,430461
775157,964664
966543,581637
916476,860123
755669,773328
233743,827376
791666,627308
944030,254489
872501,504353
708415,468538
679994,746407
400594,612810
381152,773328
890401,962590
121468,151478
328361,142297
892053,240523
484050,876570
525335,355176
381152,732617
279049,330788
367816,693191
431106,819280
289327,796159
111846,790808
879101,777069
723297,942380
648911,201955
851328,443347
484451,875519
203443,330342
566452,175170
