Part_ID,Cost_Of_Part,Name,Task_Task_ID
361393,94.22,Rand,240523
987376,85.96,Yuan Renminbi,576780
804619,60.1,Baht,778336
758797,82.56,Pound,337173
233472,56.14,Krona,900250
214170,81.92,Ruble,927301
809141,71.17,Rupiah,527275
846986,32.07,Yuan Renminbi,774573
106600,48.32,Baht,307970
860663,36.89,Peso,333809
895673,18.92,Yuan Renminbi,425587
179680,6.43,Ruble,928420
420197,35.86,Hryvnia,111267
986281,52.86,Rupiah,612236
687530,6.18,Zloty,670387
106443,59.8,Rupiah,769999
361786,19.07,Dollar,244067
447203,5.76,Sol,670387
716506,21.57,Yuan Renminbi,472877
170659,14.7,Yuan Renminbi,942380
891878,73.18,Franc,640296
411569,19.49,Peso,627169
654098,59.93,Yuan Renminbi,307970
316364,82.58,Real,589680
711689,58.91,Yuan Renminbi,896629
280926,22.29,Euro,798472
804442,55.0,Yuan Renminbi,936648
258922,44.63,Krona,722047
397646,44.1,Peso,422825
483413,24.86,Yuan Renminbi,571102
840441,16.31,Rupiah,599985
569239,31.93,Euro,436027
492274,36.99,Rupiah,588539
824203,37.32,Euro,417327
612210,89.43,Leone,466498
598491,28.89,Dollar,642218
191740,48.25,Forint,472778
567558,76.62,Dinar,466498
951501,94.77,Lempira,665661
312148,32.9,Yen,610582
443101,80.87,Yuan Renminbi,436027
382779,73.95,Rupiah,722138
799583,22.11,Euro,237480
466303,28.16,Yuan Renminbi,280575
813662,99.81,Real,852830
898648,99.58,Rupiah,962590
246257,58.97,Euro,726895
799994,44.83,Euro,533344
971554,60.81,Zloty,581637
915543,74.06,Peso,388015
883578,34.69,Rupiah,928420
706607,33.66,Rupiah,102509
838047,67.45,Lek,896629
726006,24.26,Euro,193948
873608,47.27,Zloty,333809
462025,58.33,Yuan Renminbi,367123
282503,85.65,Dollar,577262
563134,70.05,Koruna,254508
773071,65.72,Rupiah,680738
530904,68.07,Peso,773328
147441,67.66,Manat,929063
372431,4.86,Franc,615522
616691,52.29,Dollar,193948
630388,25.59,Baht,943691
631308,71.8,Rupiah,104805
336774,1.37,Euro,570340
659471,45.75,Euro,367123
872234,46.55,Rupiah,599985
784754,73.61,Shilling,509320
449149,59.72,Euro,683840
872148,28.04,Euro,175170
549843,97.61,Ruble,639427
493162,69.98,Peso,466498
248961,19.67,Sol,577443
104165,35.35,Kuna,151478
861224,28.17,Ruble,640296
400259,42.13,Dollar,124258
505442,29.88,Real,232749
764947,2.76,Ruble,142600
