Vehicle_Type_Vehicle_ID,Part_Part_ID
364984,986281
944064,165800
103297,336774
997208,773071
298852,419804
650221,799239
997208,248961
740233,659604
620017,501904
971006,824203
468037,391474
186630,478941
315304,773071
545765,210233
944064,764210
620017,338706
468037,815699
944064,241144
971006,404958
298852,325457
740233,659900
824204,281754
983981,762489
824204,482115
781004,538006
545765,628148
646356,455494
562392,609215
465662,357753
384908,155367
646356,863220
824204,315034
468037,258922
562392,607854
971006,846986
824204,258875
650221,627334
983981,747271
364984,621119
983981,721011
465662,374122
740233,138844
971006,949452
315304,845093
103297,662963
740233,609435
465662,999062
620017,119625
465662,604623
824204,944940
545765,273845
545765,281754
562392,485796
468037,649900
298852,764947
384908,736792
468037,362173
545765,796673
824204,860663
545765,211238
562392,822794
186630,223329
545765,310686
620017,654098
740233,915947
103297,212413
781004,979651
944064,212413
468037,106443
186630,610575
298852,383055
650221,845093
944064,941664
384908,875910
646356,583331
298852,133810
971006,118758
983981,796303
997208,312235
545765,338706
186630,883578
315304,390815
646356,631437
650221,662963
298852,416304
364984,649313
944064,676239
562392,758797
315304,277784
186630,395718
468037,946414
971006,682750
186630,872776
824204,361786
646356,874128
468037,180375
103297,797717
186630,600083
384908,109403
545765,358491
646356,685634
740233,235383
824204,146099
468037,761489
468037,987376
983981,125180
646356,829970
620017,815480
944064,706607
465662,537666
545765,330089
944064,406814
944064,875910
646356,391474
824204,997976
364984,965048
298852,631298
545765,430527
824204,838243
997208,419617
944064,701648
620017,953738
650221,569239
384908,863983
186630,685634
944064,415155
650221,706607
944064,965048
468037,383427
983981,325743
103297,992767
364984,214437
740233,846986
983981,373479
971006,282503
971006,986281
650221,822529
315304,518502
298852,654878
740233,636734
650221,154610
103297,895673
103297,309578
465662,180921
646356,660371
944064,686753
971006,712797
944064,841042
740233,756135
468037,860663
740233,330992
740233,890796
562392,362173
971006,865003
620017,155906
364984,883578
971006,478941
364984,247831
781004,459675
983981,132237
620017,773071
650221,817301
384908,787358
781004,560602
983981,203569
646356,689804
315304,117889
562392,308224
103297,600083
562392,455381
468037,616425
186630,863767
298852,567558
997208,936072
944064,946414
944064,113148
384908,718052
971006,578400
650221,282309
620017,827531
298852,416302
983981,913485
468037,247725
468037,400259
740233,904002
364984,295681
971006,838243
824204,636379
468037,466303
103297,628148
620017,838047
983981,949452
545765,799239
562392,523905
740233,609215
646356,666328
315304,223329
650221,504509
983981,550608
971006,413191
620017,881547
781004,940545
971006,804619
650221,180921
186630,979651
781004,610575
740233,985096
944064,711689
465662,180114
944064,747271
997208,235383
186630,659878
562392,986281
944064,796673
781004,670291
468037,656955
562392,282309
384908,529564
298852,762489
620017,599473
944064,501904
983981,310650
384908,381842
186630,936072
944064,542684
315304,504509
781004,731518
983981,168274
944064,262501
364984,168274
971006,336103
620017,781306
465662,416304
781004,406814
186630,503086
298852,372431
315304,636734
620017,499515
781004,168274
944064,507944
824204,614217
650221,507944
824204,922482
545765,682750
465662,758797
545765,115853
384908,315034
620017,610302
740233,578960
545765,518982
650221,137533
315304,872776
465662,411569
620017,952795
545765,316364
650221,985687
562392,856128
364984,774284
646356,610575
997208,211233
103297,764210
562392,312148
650221,530904
298852,908162
465662,666328
186630,154610
186630,241272
384908,371339
103297,441478
781004,386471
315304,154119
562392,362173
103297,241144
562392,117889
315304,965378
364984,104165
997208,211238
971006,383427
298852,636734
824204,809141
186630,124601
384908,781306
971006,441478
545765,269677
650221,677225
983981,827531
545765,965378
646356,941664
646356,670291
545765,721011
824204,211238
620017,352716
465662,875910
186630,183711
298852,428036
384908,520515
562392,132237
646356,370371
824204,743323
983981,119625
650221,398890
620017,505442
824204,249029
997208,620472
983981,269677
186630,586620
364984,799239
620017,392081
465662,764997
824204,113148
364984,112834
562392,716506
824204,614217
944064,165904
997208,316364
315304,243519
468037,310650
740233,905534
465662,312235
997208,620472
944064,396242
646356,455494
545765,330992
465662,582825
465662,779181
944064,485796
983981,398890
997208,310650
824204,503086
315304,400259
740233,616691
364984,969688
298852,899393
562392,182971
298852,718052
545765,827531
468037,132237
468037,663323
465662,612210
315304,338706
971006,578960
545765,165800
646356,160357
465662,963342
650221,315034
364984,716506
465662,247831
186630,458218
971006,620286
824204,898752
740233,717671
944064,764210
186630,856154
315304,659900
384908,415155
944064,281754
562392,663757
545765,352716
562392,683988
650221,226206
944064,549843
298852,537666
103297,813662
562392,155367
646356,908162
315304,725602
315304,258875
545765,327953
545765,849753
562392,320305
781004,372431
545765,865003
298852,492340
545765,600195
781004,361786
103297,325743
186630,263195
465662,386471
465662,372431
468037,361786
650221,353202
562392,583331
781004,846986
384908,154119
384908,628148
646356,357753
545765,537666
971006,551474
650221,563134
562392,154119
545765,280926
646356,359099
186630,314971
650221,551474
971006,690270
971006,787358
646356,862360
468037,339059
971006,782568
315304,326777
997208,552332
562392,155367
944064,277784
983981,156855
103297,863767
781004,765530
315304,666328
465662,476889
315304,562904
824204,711689
740233,662963
468037,578400
650221,686753
298852,917107
298852,118047
468037,318622
824204,476889
944064,840441
650221,359099
646356,845093
824204,999062
103297,277784
944064,856154
781004,358491
646356,569239
650221,646869
650221,773071
468037,338706
384908,287311
944064,951501
384908,973635
562392,117889
650221,904839
545765,756135
103297,717671
562392,232680
298852,918804
983981,860663
650221,799994
465662,799325
620017,165904
824204,657248
562392,152107
468037,362173
944064,599473
781004,971554
983981,178990
298852,952799
620017,716506
997208,799583
315304,676239
384908,425162
186630,392081
971006,352716
944064,391474
650221,319187
997208,182268
650221,687530
315304,280926
781004,941664
983981,612210
781004,607854
824204,725602
103297,600195
562392,310650
944064,762489
646356,425162
650221,664534
781004,247725
562392,899393
971006,361393
824204,618414
620017,940545
824204,280926
562392,616691
103297,492340
103297,985096
997208,364920
468037,677225
824204,312235
650221,134453
620017,965048
315304,505442
468037,935989
468037,952795
468037,991630
650221,883578
364984,415417
298852,765084
824204,569239
971006,269677
468037,377946
315304,106443
465662,339059
971006,712797
364984,578960
364984,659089
315304,391474
298852,327953
465662,986281
